Google_Metro,Year,Month,Total_Num_Reports,Num_Reports_Lake,Num_Reports_Rivers,Num_Reports_Marine,Num_Reports_Other,Num_Reports_NoAdvisory,Num_Reports_Caution,Num_Reports_Warning,Num_Reports_Danger,Num_Reports_UnknownAdvisory,Percent_Lake,Percent_River,Percent_Marine,Percent_Other,Percent_NoAdvisory,Percent_Caution,Percent_Warning,Percent_Danger,Percent_UnknownAdvisory,blue green algae
LA,2016,7,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0.5,0.5,22
LA,2016,8,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,22
LA,2016,11,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
LA,2017,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,11
LA,2017,4,5,5,0,0,0,0,4,0,1,0,1,0,0,0,0,0.8,0,0.2,0,0
LA,2017,5,2,1,1,0,0,0,2,0,0,0,0.5,0.5,0,0,0,1,0,0,0,17
LA,2017,6,3,2,1,0,0,0,1,0,0,2,0.666666667,0.333333333,0,0,0,0.333333333,0,0,0.666666667,11
LA,2017,7,4,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,20
LA,2017,8,3,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0
LA,2017,9,4,3,0,0,1,0,0,0,0,4,0.75,0,0,0.25,0,0,0,0,1,9
LA,2017,10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
LA,2018,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,12
LA,2018,5,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
LA,2018,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,7
LA,2018,8,8,8,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0.625,0.375,7
LA,2018,9,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,12
LA,2018,12,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
LA,2019,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,11
LA,2019,5,7,7,0,0,0,0,2,0,3,2,1,0,0,0,0,0.285714286,0,0.428571429,0.285714286,0
LA,2019,6,7,5,0,0,2,0,1,0,0,6,0.714285714,0,0,0.285714286,0,0.142857143,0,0,0.857142857,16
LA,2019,7,2,1,0,0,1,0,1,0,0,1,0.5,0,0,0.5,0,0.5,0,0,0.5,15
LA,2019,8,9,7,2,0,0,0,2,0,0,7,0.777777778,0.222222222,0,0,0,0.222222222,0,0,0.777777778,100
LA,2019,9,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,20
LA,2019,10,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,13
LA,2019,11,2,1,0,0,1,0,1,0,0,1,0.5,0,0,0.5,0,0.5,0,0,0.5,0
LA,2020,1,3,3,0,0,0,0,2,1,0,0,1,0,0,0,0,0.666666667,0.333333333,0,0,0
LA,2020,5,9,9,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,10
LA,2020,6,5,4,1,0,0,0,4,0,0,1,0.8,0.2,0,0,0,0.8,0,0,0.2,13
LA,2020,7,8,7,0,0,1,0,4,0,3,1,0.875,0,0,0.125,0,0.5,0,0.375,0.125,9
LA,2020,8,18,12,1,0,5,0,11,0,1,6,0.666666667,0.055555556,0,0.277777778,0,0.611111111,0,0.055555556,0.333333333,11
LA,2020,9,9,3,0,0,6,0,6,0,1,2,0.333333333,0,0,0.666666667,0,0.666666667,0,0.111111111,0.222222222,16
LA,2020,10,18,12,0,0,6,0,9,1,1,7,0.666666667,0,0,0.333333333,0,0.5,0.055555556,0.055555556,0.388888889,0
LA,2020,11,3,2,0,0,1,0,3,0,0,0,0.666666667,0,0,0.333333333,0,1,0,0,0,0
LA,2021,1,3,3,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0
LA,2021,2,7,6,1,0,0,0,5,0,0,2,0.857142857,0.142857143,0,0,0,0.714285714,0,0,0.285714286,0
LA,2021,5,19,19,0,0,0,0,2,0,1,16,1,0,0,0,0,0.105263158,0,0.052631579,0.842105263,0
LA,2021,6,4,3,1,0,0,0,2,0,0,2,0.75,0.25,0,0,0,0.5,0,0,0.5,9
LA,2021,7,7,7,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,10
LA,2021,8,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,8
LA,2021,9,5,2,1,0,2,0,3,0,0,2,0.4,0.2,0,0.4,0,0.6,0,0,0.4,13
LA,2022,1,5,5,0,0,0,0,2,0,0,3,1,0,0,0,0,0.4,0,0,0.6,10
LA,2022,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,14
LA,2022,5,22,17,4,0,1,0,1,0,0,21,0.772727273,0.181818182,0,0.045454545,0,0.045454545,0,0,0.954545455,14
LA,2022,6,3,1,1,0,1,0,0,0,0,3,0.333333333,0.333333333,0,0.333333333,0,0,0,0,1,9
LA,2022,7,13,8,4,0,1,1,1,0,0,11,0.615384615,0.307692308,0,0.076923077,0.076923077,0.076923077,0,0,0.846153846,8
LA,2022,8,9,9,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,10
LA,2022,9,4,2,1,0,1,0,0,0,0,4,0.5,0.25,0,0.25,0,0,0,0,1,0
LA,2022,10,2,1,0,0,1,0,1,0,0,1,0.5,0,0,0.5,0,0.5,0,0,0.5,13
LA,2022,11,3,2,1,0,0,0,0,0,0,3,0.666666667,0.333333333,0,0,0,0,0,0,1,0
LA,2022,12,2,1,0,0,1,0,0,0,0,2,0.5,0,0,0.5,0,0,0,0,1,9
LA,2023,1,24,19,1,0,4,0,1,0,0,23,0.791666667,0.041666667,0,0.166666667,0,0.041666667,0,0,0.958333333,0
LA,2023,2,4,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,19
LA,2023,5,4,3,1,0,0,0,1,0,0,3,0.75,0.25,0,0,0,0.25,0,0,0.75,0
LA,2023,6,2,1,0,0,1,0,0,0,0,2,0.5,0,0,0.5,0,0,0,0,1,8
LA,2023,7,4,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,12
LA,2023,8,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
LA,2023,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
SF,2016,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,14
SF,2016,4,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
SF,2016,6,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,11
